Учебна седмица;Тема;Вид;Бележки;
1;Вероятност и независимост на случайна величина;НЗ;;
2;Вероятност и независимост на случайна величина;НЗ;;
3;Вероятностно пространство. Пълна група събития;НЗ;;
4;Вероятностно пространство. Пълна група събития;НЗ;;
5;Вероятностно пространство. Пълна група събития;НЗ;;
6;Формула за пълната вероятност;НЗ;;
7;Формула за пълната вероятност;НЗ;;
8;Формула на Бейс;НЗ;;
9;Формула на Бейс;НЗ;;
10;Дискретни разпределения;НЗ;;
11;Дискретни разпределения;НЗ;;
12;Дискретни разпределения;НЗ;;
13;Дискретни разпределения;НЗ;;
14;Математическо очакване;НЗ;;
15;Математическо очакване;НЗ;;
16;Математическо очакване;НЗ;;
17;Дисперсия и стандартно отклонение;НЗ;;
18;Дисперсия и стандартно отклонение;НЗ;;
19;Дисперсия и стандартно отклонение;НЗ;;
20;Биномно разпределение. Примери.;НЗ;;
21;Биномно разпределение. Примери.;НЗ;;
22;Биномно разпределение. Примери.;НЗ;;
23;Биномно разпределение. Примери.;НЗ;;
24;Някои свойства на биномното разпределение;НЗ;;
25;Някои свойства на биномното разпределение;НЗ;;
26;Непрекъснати разпределения. Плътност;НЗ;;
27;Непрекъснати разпределения. Плътност;НЗ;;
28;Стандартно нормално разпределение като приближение на биномното разпределение;НЗ;;
29;Стандартно нормално разпределение като приближение на биномното разпределение;НЗ;;
30;Стандартно нормално разпределение като приближение на биномното разпределение;НЗ;;
31;Стандартно нормално разпределение;НЗ;;
32;Стандартно нормално разпределение;НЗ;;
33;Стандартно нормално разпределение;НЗ;;
34;Функция на разпределение и вероятност на интервал;НЗ;;
35;Подготовка за контролна работа;НЗ;;
36;Контролна работа;НЗ;;
37;Поправка на контролна работа;НЗ;;
38;Равномерно разпределение;НЗ;;
39;Някои основни свойства на нормалното разпределение;НЗ;;
40;Общи задачи от разпределение на случайна величина;НЗ;;
41;Контролна работа;НЗ;;
42;Статистически изводи с модел биномно разпределение;НЗ;;
43;Статистически изводи с модел нормално разпределение;НЗ;;
44;Статистически изводи;ОС;;
45;Прост линеен модел на корелационна корелационна зависимост;НЗ;;
46;Прост линеен модел -определяне на правата;НЗ;;
47;Прост линеен модел -определяне на правата. Прогнозиране;НЗ;;
48;Модел на научен експеримент;НЗ;;
49;Вероятност и анализ на данни. Общи задачи;ОС;;
50;Вероятност и анализ на данни. Общи задачи;НЗ;;
51;Анализ на данни. Практикум;НЗ;;
51;Анализ на данни. Практикум;НЗ;;